Stations_ID; Mess_Datum; Qualitaets_Niveau; Struktur_Version; LUFTTEMPERATUR;REL_FEUCHTE;eor
  4642;2013112816;   7;  38;   8.1;  68.0;eor
  4642;2013112817;   7;  38;   7.2;  73.0;eor
  4642;2013112818;   7;  38;   6.5;  77.0;eor
  4642;2013112819;   7;  38;   6.4;  78.0;eor
  4642;2013112820;   7;  38;   5.6;  81.0;eor
  4642;2013112821;   7;  38;   5.1;  84.0;eor
  4642;2013112822;   7;  38;   6.0;  82.0;eor
  4642;2013112823;   7;  38;   5.8;  83.0;eor
  4642;2013112900;   7;  38;   5.8;  83.0;eor
  4642;2013112901;   7;  38;   5.7;  83.0;eor
  4642;2013112902;   7;  38;   6.2;  71.0;eor
  4642;2013112903;   7;  38;   6.1;  70.0;eor
  4642;2013112904;   7;  38;   5.5;  80.0;eor
  4642;2013112905;   7;  38;   5.3;  84.0;eor
  4642;2013112906;   7;  38;   5.5;  86.0;eor
  4642;2013112907;   7;  38;   5.6;  86.0;eor
  4642;2013112908;   7;  38;   5.9;  88.0;eor
  4642;2013112909;   7;  38;   5.9;  90.0;eor
  4642;2013112910;   7;  38;   6.1;  89.0;eor
  4642;2013112911;   7;  38;   6.5;  86.0;eor
  4642;2013112912;   7;  38;   6.3;  88.0;eor
  4642;2013112913;   7;  38;   5.7;  95.0;eor
  4642;2013112914;   7;  38;   5.3;  94.0;eor
  4642;2013112915;   7;  38;   5.1;  95.0;eor
  4642;2013112916;   7;  38;   4.7;  95.0;eor
  4642;2013112917;   7;  38;   4.8;  97.0;eor
  4642;2013112918;   7;  38;   5.0;  97.0;eor
  4642;2013112919;   7;  38;   5.7;  93.0;eor
  4642;2013112920;   7;  38;   5.5;  94.0;eor
  4642;2013112921;   7;  38;   4.9;  95.0;eor
  4642;2013112922;   7;  38;   4.4;  93.0;eor
  4642;2013112923;   7;  38;   3.6;  94.0;eor
  4642;2013113000;   7;  38;   3.6;  94.0;eor
  4642;2013113001;   7;  38;   4.0;  92.0;eor
  4642;2013113002;   7;  38;   4.1;  92.0;eor
  4642;2013113003;   7;  38;   3.9;  95.0;eor
  4642;2013113004;   7;  38;   3.4;  97.0;eor
  4642;2013113005;   7;  38;   3.8;  99.0;eor
  4642;2013113006;   7;  38;   4.1;  99.0;eor
  4642;2013113007;   7;  38;   4.8;  98.0;eor
  4642;2013113008;   7;  38;   5.3;  96.0;eor
  4642;2013113009;   7;  38;   5.5;  97.0;eor
  4642;2013113010;   7;  38;   6.1;  93.0;eor
