"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Meteo"
"TIMESTAMP","RECORD","Temp_t","RH_t","Temp_b","RH_b","Rain_mm_Tot","ShortIn"
"TS","RN","Deg C","%","Deg C","%","mm","w/m2"
"","","Smp","Smp","Smp","Smp","Tot","Smp"
2014-11-11 19:57:00,204,8.35,89.7,7.98,98.3,0,0
2014-11-11 19:58:00,205,8.37,89.7,7.99,98.3,0,0
2014-11-11 19:59:00,206,8.52,89.9,8.18,98.39,0,0
2014-11-11 20:00:00,207,8.57,89.8,8.25,98.3,0,0
2014-11-11 20:01:00,208,8.61,89.7,8.27,98.11,0,0
2014-11-11 20:02:00,209,8.66,89.5,8.34,98.01,0,0
2014-11-11 20:03:00,210,8.62,89.2,8.23,97.63,0,0
2014-11-11 20:04:00,211,8.6,89.1,8.17,97.53,0,0
2014-11-11 20:05:00,212,8.65,89.3,8.19,97.63,0,0
2014-11-11 20:06:00,213,8.68,89.1,8.23,97.73,0,0
2014-11-11 20:07:00,214,8.65,89,8.22,97.63,0,0
2014-11-11 20:08:00,215,8.72,89,8.33,97.73,0,0
2014-11-11 20:09:00,216,8.68,88.8,8.29,97.44,0,0
2014-11-11 20:10:00,217,8.65,88.7,8.22,97.25,0,0
2014-11-11 20:11:00,218,8.65,88.8,8.21,97.25,0,0
2014-11-11 20:12:00,219,8.63,88.8,8.19,97.34,0,0
2014-11-11 20:13:00,220,8.62,88.8,8.15,97.34,0,0
2014-11-11 20:14:00,221,8.68,88.9,8.25,97.53,0,0
2014-11-11 20:15:00,222,8.66,88.7,8.23,97.34,0,0
2014-11-11 20:16:00,223,8.69,88.8,8.25,97.34,0,0
2014-11-11 20:17:00,224,8.67,88.7,8.21,97.25,0,0
2014-11-11 20:18:00,225,8.77,88.8,8.38,97.44,0,0
2014-11-11 20:19:00,226,8.68,88.3,8.29,96.87,0,0
2014-11-11 20:20:00,227,8.75,88.7,8.37,97.06,0,0
2014-11-11 20:21:00,228,8.76,88.4,8.37,96.68,0,0
2014-11-11 20:22:00,229,8.77,88.5,8.4,96.77,0,0
2014-11-11 20:23:00,230,8.79,88.3,8.42,96.68,0,0
2014-11-11 20:24:00,231,8.72,88.2,8.36,96.48,0,0
2014-11-11 20:25:00,232,8.73,88.3,8.44,96.68,0,0
2014-11-11 20:26:00,233,8.76,88.5,8.46,96.68,0,0
2014-11-11 20:27:00,234,8.75,88.3,8.44,96.48,0,0
2014-11-11 20:28:00,235,8.73,88.3,8.41,96.39,0,0
2014-11-11 20:29:00,236,8.79,88.4,8.45,96.48,0,0
2014-11-11 20:30:00,237,8.76,88.3,8.43,96.29,0,0
2014-11-11 20:31:00,238,8.73,88.2,8.41,96.39,0,0
2014-11-11 20:32:00,239,8.69,88.2,8.36,96.29,0,0
2014-11-11 20:33:00,240,8.72,88.4,8.41,96.68,0,0
2014-11-11 20:34:00,241,8.77,88.5,8.47,96.58,0,0
2014-11-11 20:35:00,242,8.77,88.4,8.47,96.48,0,0
2014-11-11 20:36:00,243,8.85,88.5,8.58,96.58,0,0
2014-11-11 20:37:00,244,8.86,88.3,8.64,96.29,0,0
2014-11-11 20:38:00,245,8.91,88.2,8.66,96.1,0,0
2014-11-11 20:39:00,246,8.87,88,8.63,95.72,0,0
2014-11-11 20:40:00,247,8.85,87.9,8.59,95.72,0,0
2014-11-11 20:41:00,248,8.83,88,8.54,95.91,0,0
2014-11-11 20:42:00,249,8.83,88.1,8.52,96.01,0,0
2014-11-11 20:43:00,250,8.81,88.1,8.49,96.1,0,0
2014-11-11 20:44:00,251,8.81,88.3,8.5,96.39,0,0
2014-11-11 20:45:00,252,8.84,88.2,8.58,96.29,0,0
2014-11-11 20:46:00,253,8.87,88.2,8.62,96.29,0,0
2014-11-11 20:47:00,254,8.83,88.2,8.59,96.1,0,0
2014-11-11 20:48:00,255,8.81,88.3,8.52,96.2,0,0
2014-11-11 20:49:00,256,8.83,88.3,8.54,96.39,0,0
2014-11-11 20:50:00,257,8.86,88.3,8.57,96.48,0,0
2014-11-11 20:51:00,258,8.83,88.2,8.56,96.29,0,0
2014-11-11 20:52:00,259,8.81,88.2,8.53,96.29,0,0
2014-11-11 20:53:00,260,8.81,88.2,8.55,96.29,0,0
2014-11-11 20:54:00,261,8.85,88.3,8.61,96.39,0,0
2014-11-11 20:55:00,262,8.89,88.2,8.65,96.2,0,0
2014-11-11 20:56:00,263,8.92,88.1,8.67,96.1,0,0
2014-11-11 20:57:00,264,8.93,88,8.68,96.01,0,0
2014-11-11 20:58:00,265,8.91,87.9,8.64,95.91,0,0
2014-11-11 20:59:00,266,8.91,88.1,8.62,95.91,0,0
2014-11-11 21:00:00,267,8.97,87.9,8.72,95.82,0,0
2014-11-11 21:01:00,268,8.91,87.6,8.68,95.53,0,0
2014-11-11 21:02:00,269,8.91,87.8,8.67,95.62,0,0
2014-11-11 21:03:00,270,8.93,87.9,8.7,95.62,0,0
2014-11-11 21:04:00,271,8.93,87.9,8.7,95.62,0,0
2014-11-11 21:05:00,272,8.93,87.8,8.68,95.43,0,0
2014-11-11 21:06:00,273,8.95,87.8,8.69,95.53,0,0
2014-11-11 21:07:00,274,8.9,87.6,8.66,95.43,0,0
2014-11-11 21:08:00,275,8.88,87.8,8.62,95.62,0,0
2014-11-11 21:09:00,276,8.87,87.9,8.61,95.72,0,0
2014-11-11 21:10:00,277,8.87,88,8.6,95.82,0,0
2014-11-11 21:11:00,278,8.89,87.9,8.65,95.72,0,0
2014-11-11 21:12:00,279,8.88,87.8,8.64,95.53,0,0
2014-11-11 21:13:00,280,8.83,87.8,8.56,95.53,0,0
2014-11-11 21:14:00,281,8.82,88,8.52,95.72,0,0
2014-11-11 21:15:00,282,8.9,88,8.63,95.82,0,0
2014-11-11 21:16:00,283,8.95,87.8,8.71,95.53,0,0
2014-11-11 21:17:00,284,8.95,87.6,8.74,95.24,0,0
2014-11-11 21:18:00,285,8.87,87.4,8.64,94.96,0,0
2014-11-11 21:19:00,286,8.81,87.5,8.58,95.15,0,0
2014-11-11 21:20:00,287,8.81,87.8,8.58,95.53,0,0
2014-11-11 21:21:00,288,8.77,87.8,8.55,95.53,0,0
2014-11-11 21:22:00,289,8.78,88,8.52,95.72,0,0
2014-11-11 21:23:00,290,8.77,88,8.5,95.82,0,0
2014-11-11 21:24:00,291,8.72,88,8.45,95.72,0,0
2014-11-11 21:25:00,292,8.73,88.2,8.45,96.01,0,0
2014-11-11 21:26:00,293,8.69,88.1,8.41,96.01,0,0
2014-11-11 21:27:00,294,8.66,88.1,8.39,96.01,0,0
2014-11-11 21:28:00,295,8.65,88.2,8.37,96.1,0,0
2014-11-11 21:29:00,296,8.6,88.2,8.35,96.2,0,0
2014-11-11 21:30:00,297,8.57,88.3,8.3,96.2,0,0
2014-11-11 21:31:00,298,8.59,88.5,8.31,96.48,0,0
2014-11-11 21:32:00,299,8.57,88.5,8.27,96.48,0,0
2014-11-11 21:33:00,300,8.55,88.6,8.21,96.68,0,0
2014-11-11 21:34:00,301,8.57,88.8,8.21,96.87,0,0
2014-11-11 21:35:00,302,8.58,88.8,8.24,96.96,0,0
2014-11-11 21:36:00,303,8.54,88.7,8.2,96.77,0,0
2014-11-11 21:37:00,304,8.5,88.6,8.13,96.58,0,0
2014-11-11 21:38:00,305,8.48,88.7,8.09,96.58,0,0
2014-11-11 21:39:00,306,8.45,88.7,8.09,96.87,0,0
2014-11-11 21:40:00,307,8.43,88.8,8.07,97.06,0,0
2014-11-11 21:41:00,308,8.42,88.9,8.03,97.15,0,0
2014-11-11 21:42:00,309,8.34,88.8,7.98,97.06,0,0
2014-11-11 21:43:00,310,8.31,88.8,7.93,96.96,0,0
2014-11-11 21:44:00,311,8.38,89.2,8.03,97.44,0,0
