"TOA5","CR800_20","CR800","1273","CR800.Std.07","CPU:OWL_20.CR8","48090","Wind"
"TIMESTAMP","RECORD","Wind_Speed","Wind_Direction","Std_Dev_Wind_Dir"
"TS","RN","","Deg","Deg"
"","","WVc:Mean_Horizontal_Windspeed","WVc:Unit_Vector_Wind_Direction","WVc:Yamartino_Algorithm"
"2014-11-11 20:48:00",255,0.877,41.28,0
"2014-11-11 20:49:00",256,1.069,33.6,0
"2014-11-11 20:50:00",257,1.457,58.63,50.89
"2014-11-11 20:51:00",258,0.354,41.62,73.39
"2014-11-11 20:52:00",259,0.507,43.26,0
"2014-11-11 20:53:00",260,0.837,64.46,0
"2014-11-11 20:54:00",261,1.663,59.76,0
"2014-11-11 20:55:00",262,1.284,62.33,22.8
"2014-11-11 20:56:00",263,1.08,79.87,25.17
"2014-11-11 20:57:00",264,0.754,114.8,53.32
"2014-11-11 20:58:00",265,0.756,45.65,0
"2014-11-11 20:59:00",266,1.873,47.95,0
"2014-11-11 21:00:00",267,1.399,54.61,23.12
"2014-11-11 21:01:00",268,0.521,75.02,52.04
"2014-11-11 21:02:00",269,1.348,27.1,41.05
"2014-11-11 21:03:00",270,1.585,75.06,0
"2014-11-11 21:04:00",271,1.716,65.88,0
"2014-11-11 21:05:00",272,1.725,62.88,24.26
"2014-11-11 21:06:00",273,1.424,61.37,24.93
"2014-11-11 21:07:00",274,0.738,59.05,47.44
"2014-11-11 21:08:00",275,0.711,65.4,0
"2014-11-11 21:09:00",276,1,74.44,0
"2014-11-11 21:10:00",277,1.253,71.48,40.54
"2014-11-11 21:11:00",278,1.155,85.6,28.06
"2014-11-11 21:12:00",279,1.431,67.84,23.83
"2014-11-11 21:13:00",280,1.089,45,0
"2014-11-11 21:14:00",281,1.55,49.52,0
"2014-11-11 21:15:00",282,2.304,65.62,18.2
"2014-11-11 21:16:00",283,1.486,56.62,25.1
"2014-11-11 21:17:00",284,1.803,40.73,0
"2014-11-11 21:18:00",285,0.709,51.53,0
"2014-11-11 21:19:00",286,0.766,68.47,0
"2014-11-11 21:20:00",287,1.326,74.95,31.1
"2014-11-11 21:21:00",288,0.687,31.7,42.38
"2014-11-11 21:22:00",289,1.14,60.65,26.94
"2014-11-11 21:23:00",290,0.778,78.56,0
"2014-11-11 21:24:00",291,0.5,29.12,0
"2014-11-11 21:25:00",292,0.597,40.84,70.82
"2014-11-11 21:26:00",293,0.595,95.9,52.81
"2014-11-11 21:27:00",294,0.991,62.65,36.98
"2014-11-11 21:28:00",295,0.585,29.01,68.04
"2014-11-11 21:29:00",296,0.294,338.8,0
"2014-11-11 21:30:00",297,0.536,4.885,0
"2014-11-11 21:31:00",298,0.82,79.42,46.2
"2014-11-11 21:32:00",299,0.736,28.56,57.21
"2014-11-11 21:33:00",300,0.559,17.4,57.04
"2014-11-11 21:34:00",301,1.128,75.39,0
"2014-11-11 21:35:00",302,0.678,82.2,0
"2014-11-11 21:36:00",303,0.328,70.88,0
"2014-11-11 21:37:00",304,0.145,135.1,85.7
"2014-11-11 21:38:00",305,0.541,69.44,84.1
"2014-11-11 21:39:00",306,0.23,42.24,84.7
"2014-11-11 21:40:00",307,0.571,18.13,0
"2014-11-11 21:41:00",308,0.909,96.1,0
"2014-11-11 21:42:00",309,0.382,37.37,0
"2014-11-11 21:43:00",310,0.981,56.8,51.2
"2014-11-11 21:44:00",311,1.024,55.49,30.59
"2014-11-11 21:45:00",312,0.878,4.152,0
"2014-11-11 21:46:00",313,0.578,333.6,0
"2014-11-11 21:47:00",314,0.565,286,0
"2014-11-11 21:48:00",315,0.448,155.7,0
"2014-11-11 21:49:00",316,0.753,135.1,50.14
"2014-11-11 21:50:00",317,0.925,77.33,11.21
"2014-11-11 21:51:00",318,1.308,57.9,25.2
"2014-11-11 21:52:00",319,0.801,88.5,0
"2014-11-11 21:53:00",320,0.604,338.8,0
"2014-11-11 21:54:00",321,0.513,334.8,65.44
"2014-11-11 21:55:00",322,0.383,195.7,87.7
"2014-11-11 21:56:00",323,0.947,93.5,22.98
"2014-11-11 21:57:00",324,0.44,317.9,0
"2014-11-11 21:58:00",325,0.654,72.49,0
"2014-11-11 21:59:00",326,0.403,54.05,0
"2014-11-11 22:00:00",327,0.63,320.2,33.93
"2014-11-11 22:01:00",328,0.535,355.6,59.28
"2014-11-11 22:02:00",329,0.493,330.1,0
"2014-11-11 22:03:00",330,1.061,53.19,0
"2014-11-11 22:04:00",331,0.535,338.8,59.84
"2014-11-11 22:05:00",332,0.462,298.6,75.05
"2014-11-11 22:06:00",333,0.65,342.8,12.95
"2014-11-11 22:07:00",334,0.414,296.9,0
"2014-11-11 22:08:00",335,0.734,358.2,0
"2014-11-11 22:09:00",336,0.655,40.67,33.16
"2014-11-11 22:10:00",337,0.906,53.69,57.31
"2014-11-11 22:11:00",338,0.531,15.88,69.67
"2014-11-11 22:12:00",339,0.318,165.5,44.07
"2014-11-11 22:13:00",340,0.236,196.3,0
"2014-11-11 22:14:00",341,0.357,20.01,0
"2014-11-11 22:15:00",342,0.396,286.1,0
"2014-11-11 22:16:00",343,0.989,39.12,20.56
