"TOA5","CR800_40","CR800","1075","CR800.Std.07","CPU:OWL_40.CR8","5565","Fluxes"
"TIMESTAMP","RECORD","u_Avg","v_Avg","w_Avg","t_Avg","u_Cov(1)","u_Cov(2)","u_Cov(3)","u_Cov(4)","u_Cov(5)","u_Cov(6)","u_Cov(7)","u_Cov(8)","u_Cov(9)","u_Cov(10)","Samples_Sonic","disable_flag"
"TS","RN","m/s","m/s","m/s","Deg C","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","samples",""
"","","Avg","Avg","Avg","Avg","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Cov","Tot","Smp"
"2014-11-11 17:58:00",99,-1.346,-0.553,0.031,15.51,0.378,0.047,0.031,-0.041,0.152,0.017,-0.027,0.062,-0.008,0.029,300,-1
"2014-11-11 17:59:00",100,-1.124,-0.043,-0.072,15.44,0.142,-0.02,0.066,-0.014,0.339,-0.07,-0.006,0.116,-0.016,0.017,300,-1
"2014-11-11 18:00:00",101,-1.386,0.265,-0.004,15.41,0.243,-0.086,0.01,-0.026,0.188,0,0.038,0.103,-0.039,0.072,300,-1
"2014-11-11 18:01:00",102,-1.303,-0.189,-0.146,15.53,0.079,0.007,0,-0.004,0.181,0.004,0.001,0.073,-0.003,0.013,301,0
"2014-11-11 18:02:00",103,-1.009,0.052,-0.222,15.41,0.223,-0.023,-0.029,-0.006,0.282,-0.034,0.029,0.087,-0.015,0.02,300,0
"2014-11-11 18:03:00",104,-0.715,-0.363,0.119,15.27,0.073,-0.026,0.015,0.002,0.072,0.004,-0.016,0.032,-0.008,0.035,300,0
"2014-11-11 18:04:00",105,-0.944,-0.32,0.036,15.31,0.104,-0.031,0.002,-0.009,0.087,-0.028,0.008,0.075,-0.007,0.02,300,-1
"2014-11-11 18:05:00",106,-0.933,-0.386,0.031,15.19,0.188,0.103,0,-0.054,0.178,-0.01,-0.048,0.031,0,0.041,300,-1
"2014-11-11 18:06:00",107,-1.112,-0.21,-0.016,15.5,0.235,-0.138,0.01,0.007,0.443,-0.044,0.005,0.053,-0.013,0.023,300,-1
"2014-11-11 18:07:00",108,-0.593,-0.298,0.148,15.27,0.141,-0.047,0.043,0.014,0.118,-0.024,-0.017,0.041,0.003,0.019,301,0
"2014-11-11 18:08:00",109,-0.485,-0.202,0.095,15.3,0.235,-0.133,0.029,0.011,0.227,-0.024,-0.009,0.043,-0.009,0.03,300,0
"2014-11-11 18:09:00",110,-1.128,0.254,-0.066,15.41,0.095,-0.009,-0.01,0.021,0.065,0.019,-0.012,0.047,-0.015,0.028,300,0
"2014-11-11 18:10:00",111,-0.627,-0.316,-0.062,15.27,0.067,-0.024,-0.01,-0.015,0.114,0.003,0.009,0.028,-0.001,0.03,300,-1
"2014-11-11 18:11:00",112,-0.711,-0.485,-0.009,15.33,0.086,0.004,0.007,-0.002,0.174,-0.011,-0.003,0.035,0.002,0.022,300,-1
"2014-11-11 18:12:00",113,-0.671,-0.638,0.017,15.36,0.26,0.046,0.069,-0.027,0.077,0.036,-0.026,0.044,-0.017,0.022,301,0
"2014-11-11 18:13:00",114,-0.577,-0.328,-0.002,15.4,0.033,0.003,0.008,0.004,0.073,-0.017,0.009,0.02,-0.005,0.013,300,0
"2014-11-11 18:14:00",115,-0.604,-0.7,-0.005,15.21,0.147,-0.018,0.016,0.025,0.189,-0.019,-0.035,0.04,0.001,0.045,300,0
"2014-11-11 18:15:00",116,-0.766,0.189,-0.059,15.38,0.107,-0.011,-0.015,-0.043,0.042,0.013,0.008,0.032,0.011,0.037,300,-1
"2014-11-11 18:16:00",117,-0.206,-0.286,-0.013,15.3,0.246,-0.034,-0.016,-0.059,0.039,0.016,0.019,0.03,-0.007,0.05,300,-1
"2014-11-11 18:17:00",118,-0.599,-0.076,-0.023,15.23,0.168,-0.003,0.043,-0.055,0.041,0.014,-0.005,0.031,-0.02,0.034,300,-1
"2014-11-11 18:18:00",119,-1.126,0.466,-0.188,15.5,0.067,0.049,0.004,0.019,0.138,0.021,0.015,0.043,-0.001,0.026,301,0
